"DateTime"	"[Заражений за день]"
2020-03-01 00:00:00	2337
2020-04-01 00:00:00	104161
2020-05-01 00:00:00	299345
2020-06-01 00:00:00	242006
2020-07-01 00:00:00	192132
2020-08-01 00:00:00	155338
2020-09-01 00:00:00	180967
2020-10-01 00:00:00	441830
2020-11-01 00:00:00	677538
2020-12-01 00:00:00	863643
2021-01-01 00:00:00	691142
2021-02-01 00:00:00	395640
2021-03-01 00:00:00	299016
2021-04-01 00:00:00	260193
2021-05-01 00:00:00	266629
2021-06-01 00:00:00	316778
