SEQ_ID	Root	Kingdom	Phylum	Class	Order	Family	Genus
ASV1582	Root	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium
ASV1583	Root	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoanaerobacter
ASV1584	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV1585	Root	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
ASV1586	Root	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
ASV1587	Root	Bacteria	Bacteroidota	Bacteroidia	unclassified_Bacteroidia	NA	NA
ASV1588	Root	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes
ASV1589	Root	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella
ASV1590	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium
ASV1591	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	unclassified_Neisseriaceae
ASV1592	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ASV1593	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ASV1594	Root	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	unclassified_Saccharimonadales	NA
ASV1595	Root	unclassified_Root	NA	NA	NA	NA	NA
ASV1596	Root	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas
ASV1597	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified_Enterobacteriaceae
ASV1598	Root	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
ASV1599	Root	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV1600	Root	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
